Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.1 (lin64) Build 2552052 Fri May 24 14:47:09 MDT 2019
| Date         : Wed Jul 24 01:23:08 2019
| Host         : SHULKER running 64-bit Ubuntu 18.04.2 LTS
| Command      : report_high_fanout_nets -file /home/cdlucas/freedom/builds/e300artydevkit/obj/report/fanout.txt -timing -load_types -max_nets 25
| Design       : E300ArtyDevKitFPGAChip
| Device       : xc7a35ti
--------------------------------------------------------------------------------------------------------------------------------------------------

High Fan-out Nets Information

1. Fanout Summary
-----------------

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-----------------------------+-----------------------------+-----------------------------+-----------------------------+
|                                                                                                                                                                                       |        |             |                 |                 |         Clock Enable        |          Set/Reset          |         Data & Other        |            Clock            |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| Net Name                                                                                                                                                                              | Fanout | Driver Type | Worst Slack(ns) | Worst Delay(ns) | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER | Slice | IO | BRAM/DSP/OTHER |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+-------------+-----------------+-----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+-------+----+----------------+
| E300ArtyDevKitPlatform/ResetCatchAndSync_d20/AsyncResetSynchronizerShiftReg_w1_d20_i0/sync_0/reg_0/sys_reset                                                                          |   1994 | LUT1        |          15.655 |           8.893 |     0 |  0 |              0 |  1990 |  4 |              0 |     0 |  0 |              0 |     0 |  0 |              0 |
| slow_clock_BUFG                                                                                                                                                                       |   1012 | BUFG        |             inf |           1.750 |     0 |  0 |              0 |     0 |  0 |              0 |     1 |  0 |              0 |  1011 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/debug_1/dmInner/dmactiveSync/AsyncResetSynchronizerShiftReg_w1_d3_i0/sync_0/reg_0/SR[0]                                                                    |    593 | LUT1        |          24.437 |           4.399 |     0 |  0 |              0 |   593 |  0 |              0 |     0 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/plic/Queue/_T_35_read_reg[0]_0                                                                                                                             |    229 | FDRE        |          19.533 |           5.829 |     0 |  0 |              0 |     0 |  0 |              0 |   229 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/plic/Queue/_T_37_reg_1                                                                                                                                     |    225 | LUT2        |          14.755 |           2.098 |     4 |  0 |              0 |     0 |  0 |              0 |   221 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/sbus/control_bus/coupler_to_slave_named_debug/fragmenter/Repeater/full_reg_1                                                                               |    185 | LUT6        |          14.351 |           2.990 |     0 |  0 |              0 |     0 |  0 |              0 |   185 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/tile/frontend/fq/_T_60_0_reg_0                                                                                                                             |    179 | FDRE        |          13.388 |           3.070 |     0 |  0 |              0 |     0 |  0 |              0 |   179 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/plic/Queue/Queue_io_deq_bits_mask[0]                                                                                                                       |    166 | FDSE        |          22.912 |           4.461 |     0 |  0 |              0 |     0 |  0 |              0 |   166 |  0 |              0 |     0 |  0 |              0 |
| E300ArtyDevKitPlatform/sys/aon_1/aon/pmu/coreReset                                                                                                                                    |    154 | FDRE        |             inf |           1.994 |     0 |  0 |              0 |   150 |  0 |              0 |     4 |  0 |              0 |     0 |  0 |              0 |
